  No.   E(hr.)        dos(hr.)         E(eV)          dos(eV)              sum
   3386  -0.52420      0.0000000000    -12.470983      0.0000000000      639.9999999999
   3396  -0.52320      0.0000000000    -12.443771      0.0000000000      639.9999999999
   3406  -0.52220      0.0000000000    -12.416560      0.0000000000      639.9999999999
   3416  -0.52120      0.0000000000    -12.389349      0.0000000000      639.9999999999
   3426  -0.52020      0.0000000000    -12.362137      0.0000000000      639.9999999999
   3436  -0.51920      0.0000000000    -12.334926      0.0000000000      639.9999999999
   3446  -0.51820      0.0000000000    -12.307714      0.0000000000      639.9999999999
   3456  -0.51720      0.0000000000    -12.280503      0.0000000000      639.9999999999
   3466  -0.51620      0.0000000000    -12.253292      0.0000000000      639.9999999999
   3476  -0.51520      0.0000000000    -12.226080      0.0000000000      639.9999999999
   3486  -0.51420      0.0000000000    -12.198869      0.0000000000      639.9999999999
   3496  -0.51320      0.0000000000    -12.171657      0.0000000000      639.9999999999
   3506  -0.51220      0.0000000000    -12.144446      0.0000000000      639.9999999999
   3516  -0.51120      0.0000000000    -12.117235      0.0000000000      639.9999999999
   3526  -0.51020      0.0000000000    -12.090023      0.0000000000      639.9999999999
   3536  -0.50920      0.0000000000    -12.062812      0.0000000000      639.9999999999
   3546  -0.50820      0.0000000000    -12.035601      0.0000000000      639.9999999999
   3556  -0.50720      0.0000000000    -12.008389      0.0000000000      639.9999999999
   3566  -0.50620      0.0000000000    -11.981178      0.0000000000      639.9999999999
   3576  -0.50520      0.0000000000    -11.953966      0.0000000000      639.9999999999
   3586  -0.50420      0.0000000000    -11.926755      0.0000000000      639.9999999999
   3596  -0.50320      0.0000000000    -11.899544      0.0000000000      639.9999999999
   3606  -0.50220      0.0000000000    -11.872332      0.0000000000      639.9999999999
   3616  -0.50120      0.0000000000    -11.845121      0.0000000000      639.9999999999
   3626  -0.50020      0.0000000000    -11.817909      0.0000000000      639.9999999999
   3636  -0.49920      0.0000000000    -11.790698      0.0000000000      639.9999999999
   3646  -0.49820      0.0000000000    -11.763487      0.0000000000      639.9999999999
   3656  -0.49720      0.0000000000    -11.736275      0.0000000000      639.9999999999
   3666  -0.49620      0.0000000000    -11.709064      0.0000000000      639.9999999999
   3676  -0.49520      0.0000000000    -11.681852      0.0000000000      639.9999999999
   3686  -0.49420      0.0000000000    -11.654641      0.0000000000      639.9999999999
   3696  -0.49320      0.0000000000    -11.627430      0.0000000000      639.9999999999
   3706  -0.49220      0.0000000000    -11.600218      0.0000000000      639.9999999999
   3716  -0.49120      0.0000000000    -11.573007      0.0000000000      639.9999999999
